    \textsc{MdTrie}
1012	189655
1015	5083
1021	579192
1023	117902
1030	9221
1048	40450
1048	152699
1064	588339
1078	142166
1079	98815
1094	931863
1111	8452
1159	2.78E+05
1161	214784
1174	211917
1187	58429
1188	4472
1188	4625
1188	4685
1188	4734
1188	4748
1188	4768
1188	4710
1191	221695
1192	9728
1242	41695
1248	6261
1285	149731
1285	23862
1304	12330
1304	12500
1305	6739
1308	147734
1358	6965
1391	21697
1415	6624
1443	53427
1470	1114872
1478	1023335
1502	7009
1508	17573
1512	16745
1515	227144
1518	8946
1551	10592
1566	202998
1582	117628
1601	152694
1602	68609
1616	10910
1620	116359
1640	21444
1655	24370
1669	2337990
1678	290249
1814	292785
1828	274632
1855	12241
1924	44737
2057	12728
2084	874528
2117	402673
2129	19473
2170	2883804
2275	13465
2288	694337
2312	1404022
2315	212816
2323	295432
2370	13490
2405	261789
2415	156133
2599	102477
2613	26728
2763	3023846
2800	17391
2802	251307
2830	101346
2849	219859
2894	1228801
2901	118841
2928	361903
2937	1089164
2972	620549
2993	89857
3016	552328
3020	22307
3093	17103
3142	398511
3237	16073
3242	24206
3253	109954
3281	1269412
3311	85860
3356	4376018
3397	2882059
3405	199303
3415	45378
3426	1290654
3426	21260
3462	16661
3476	4.08E+06
3587	226024
3702	817659
3713	158387
3812	368196
3897	16389
3906	606540
3909	16431
3999	38402
4032	110316
4073	278115
4378	1737212
4470	17419
4482	5429425
4511	226937
4514	33746
4653	224864
4681	2162943
4836	30711
5010	25078
5062	26300
5142	239115
5157	205502
5251	653281
5392	175742
5410	926578
5523	732439
5554	8.52E+06
5561	2615188
5572	134889
5805	138464
5851	684113
5970	654359
6381	496211
6562	1087021
6583	1008462
6641	30608
6787	231173
6850	29662
6904	546252
7037	695622
7081	41162
7081	41138
7185	32527
7236	197301
7510	289480
7540	2769568
8049	1009381
8111	1009191
8190	160905
8257	1695833
8326	595603
8569	1.56E+05
8677	493981
8741	1932341
8962	147660
9024	164016
9052	214466
9140	412972
9187	49709
9197	1146729
9294	3.76E+06
9307	790928
9355	361386
9389	298858
9770	325454
9985	41378
10066	176588
10237	64786
10441	2073714
10637	841522
10944	1464224
11173	569053
11328	303482
11491	1138704
11640	317285
12115	1796976
12215	2656075
12253	1099006
12268	327508
12311	883186
12648	4446196
13429	590820
13466	442504
13504	3420762
13716	1505156
14306	254391
14407	6695443
14945	4981200
15076	1874719
15817	1639817
15888	627177
16026	1277919
16075	1570724
16226	417418
16238	309911
16390	5844826
16695	1961697
17268	751890
17289	1427314
17291	831836
17879	660759
18222	61671
18483	445171
18535	790328
18626	617240
19053	67019
19499	440355
19965	919085
19992	8842127
20030	67896
20031	70877
20046	604594
20144	8346147
21024	2485478
21196	16199336
21234	73809
21723	781137
21930	81689
23095	5362608
23844	2989177
23850	2691776
24072	717237
25614	8214734
27176	1987011
27577	11564105
27591	647603
27607	104317
28079	302965
28334	1012856
28987	5199959
29205	109283
29601	3592886
29629	1188728
30696	2677510
30919	12286908
30954	6319370
31158	563550
31277	5342612
31372	507895
31407	8056550
31539	2405651
34211	2201794
34533	3236676
34739	3811019
34995	2320016
35319	891515
35800	742066
36080	4097373
36089	482639
36294	783867
37891	4712215
38102	228794
39774	791101
40642	945459
41340	565630
42088	1765121
42666	9533150
44490	339264
45434	3893021
47029	4730373
48311	253723
48363	6297223
49595	5632363
50055	5516442
50982	877767
51546	5582960
51869	219065
52841	4767724
53013	7027043
53677	194574
59162	244735
59672	1237684
59923	11837009
60921	9039234
62759	2891478
62985	1.58E+06
63236	1999616
63606	581026
64230	365422
65143	2449140
65761	11142069
66011	5986183
66237	634736
69422	10606220
69916	2108104
70424	5737621
71023	9710500
72488	385180
72918	4664578
76522	414740
80799	5427755
81132	2475692
84793	2401621
86197	2024782
87537	2769993
90698	5567853
91693	5884825
92822	2867778
93298	387610
93939	354366
96040	2639318
98678	2097978
99581	5459998
101750	1554109
102828	2.27E+06
104251	7828548
105932	460376
106287	610749
107326	453163
108002	439461
111045	2360997
112907	3821768
113733	669402
116954	522137
118095	540046
119003	458427
120403	552224
123235	670132
123235	651026
126019	2374635
127161	1908934
133772	4400515
133959	4147380
135702	943218
138785	689556
139420	3042625
140119	28113792
144099	613157
146136	2978616
147454	3649991
151519	4208017
151654	662410
152210	2551132
161395	16362491
172090	3981143
173301	10968106
174877	14258127
176401	4437766
185462	931597
187195	4963329
190451	6754273
195658	4155313
198339	9938275
200082	3798301
212135	72158255
213784	986604
214047	876020
216881	3425444
221220	1157017
222181	1040894
227035	9161603
231030	1252219
231889	3199072
232453	7496882
237900	1054452
238019	1092136
238019	1064458
238237	5222309
262279	1020028
276990	1332537
281914	1491161
283794	1143343
284176	999344
285773	7790483
287949	4153088
292934	1209715
304621	1125514
322992	1212637
325093	1287070
328081	5.00E+06
338828	1592364
340589	8712288
341632	1606152
342921	4562968
343103	1433734
349639	8649238
351186	1628533
363720	1360217
363720	1344363
367442	1406420
370717	1407411
375156	1720354
378763	1791470
378799	1519350
394448	7822707
403202	1666382
409583	1837597
414039	1456614
414091	7017972
415547	2041896
417987	8255067
425329	1637562
429496	31933139
438395	1646539
441534	1702166
452495	6076913
464870	21840660
468081	19300660
482252	1839674
492603	1818166
504772	17647609
507365	1919242
529498	1928865
549860	19595479
568522	8578828
573155	17979116
573354	2073327
575333	2095588
595372	2561324
612131	3497093
622280	13137873
622485	2441794
626392	2303778
631261	15291857
631459	13240378
632542	2462946
632542	2595826
639073	2443878
641668	26138491
661829	2386686
664988	2786744
668067	2729290
672044	2443573
672044	2471898
677574	2548298
680408	13706000
698746	2586690
703091	23775413
722139	2655523
722139	2548947
755435	16814725
765114	30473159
784639	3341063
794144	5784752
797401	3002381
803572	3968774
811884	19542378
816288	2963889
822247	3133243
824261	17942041
827598	6.83E+07
839951	18306664
872550	3443270
910795	4254296
949399	3598716
951164	3558150
953286	3790681
960444	4358980
1003538	24850907
1019777	4086857
1058418	14357213
1067095	4228606
1072112	4975417
1078881	16856290
1080252	3959353
1123733	4549698
1124872	4694947
