1795,320196
1793,368419
1725,219910
1916,126840
1796,284673
1570,324827
1872,121327
1937,344952
1808,310094
1505,332822
1943,533732
1813,342602
1886,130938
1880,441058
1932,96173
1796,329805
1990,124323
1389,124808
1866,64266
1948,96259
1794,288921
1851,567772
1727,267019
1898,383361
1929,91585
1950,127189
1834,110237
1847,636023
1488,139263
1927,81477
1968,146627
1932,124850
1868,463345
1995,432408
1598,105526
1498,340346
1936,168821
1950,177442
1796,317420
1357,222407
1507,385321
1768,347178
1524,566428
1412,531603
1932,132641
1870,105082
1737,370999
1796,243413
1930,140663
1879,351822
1838,491798
1712,433439
1660,419283
1794,264223
1472,260598
1796,380127
1506,337119
1840,484090
1536,117970
1865,524064
1918,469880
1795,267938
1409,531357
1925,541863
1796,291543
1685,85649
1950,96388
1795,263131
1820,329260
1970,135395
1835,502344
1542,91596
1919,348093
1796,276585
1905,347941
1870,139013
1794,353723
1837,532340
1680,112765
1790,76984
1540,90796
1955,407560
1598,82428
1769,303560
1862,314226
1863,353460
1860,118795
1725,254062
1794,404558
1686,321973
1718,168634
1800,369370
1877,421933
1925,80254
1795,297747
1998,118920
1920,89300
1913,338592
1525,596334
1926,94887
1021,671594
1511,361477
1990,411504
1334,176583
1769,346336
1690,85730
1675,270015
1634,117212
1794,303066
1502,310657
1898,143092
1794,247161
1694,79195
1792,82949
1885,84251
1794,281036
1534,213549
1861,361979
1988,137115
1699,253694
1878,104607
1694,98382
1882,116392
1986,108237
1673,247600
1994,136169
1820,345629
1348,565250
1885,472639
1990,125458
1470,596907
1891,429820
1928,125716
1828,336262
1547,122548
1884,84492
1796,276395
1512,376037
1798,78630
1541,87957
1551,83312
1913,361574
1541,86332
1794,304841
1862,89194
1483,329336
1759,287412
1555,87230
1825,171067
1444,246025
1598,97553
1832,389592
1950,95452
1888,538439
1796,265484
1857,375892
1492,271754
1796,396986
1598,103109
1668,104931
1490,345010
1884,78476
1993,310907
1794,282524
1291,564668
1479,245114
1796,280975
1931,503429
1925,196665
1842,110873
1932,124887
1476,557492
1798,103294
1941,402298
1800,139040
1944,251892
1796,290195
1753,241357
1453,346182
1916,113414
1960,137505
1880,507678
1634,301994
1990,147819
1541,86607
1794,281171
1866,83715
1864,477941
1422,562455
1978,539525
1845,305754
1551,91994
1866,511035
1541,110797
1527,370967
1670,95261
1758,385824
1894,281844
1791,79144
1690,541208
1600,164051
1781,345435
1966,119644
1516,584246
1429,568170
1993,271585
1759,326741
1794,280564
1938,116082
1695,78587
1890,86909
1592,212615
1920,80914
1955,87947
1726,269979
1598,97549
1325,217138
1874,107947
1791,74110
1719,149477
1990,110745
1796,338643
1775,549508
1390,218302
1872,375278
1885,266178
1320,252538
1680,105080
1849,341340
1470,328371
1503,364819
1489,39319
1852,373442
1838,114220
1574,217622
1919,343510
1791,81482
1950,122660
1759,342885
1955,471051
1856,425746
1665,53961
1792,58126
1882,88732
1344,592522
1890,93476
1929,163479
1948,91578
1549,299656
1993,272606
1929,489595
1620,146894
1674,247981
1908,357196
1795,259228
1886,89026
1974,117095
1422,557205
1945,380215
1950,92433
1796,333002
1453,229923
1485,251349
1598,98057
1879,462912
1490,152227
1769,344891
1792,86216
1788,267434
1505,357261
1424,138574
1714,109496
1958,426089
1668,108136
1974,113140
1527,397109
1701,346869
1924,168294
1881,381797
1462,548182
1833,224417
1932,124276
1698,76986
1777,290203
1796,344423
1972,93993
1680,103450
1541,82755
1819,334400
1797,270345
1878,195646
1600,121257
1846,103747
1990,93823
1882,129403
1620,130764
1443,234083
1795,261041
1721,297121
1520,341575
1540,104932
1543,85456
1691,308501
1732,431423
1950,92384
1644,128817
1676,102352
1775,383830
1796,270227
1919,340230
1727,257801
1796,273228
1978,96283
1927,74660
1759,288827
1836,489593
1906,341071
1675,538063
1555,103847
1360,289872
1796,337669
1809,94937
1676,154729
1848,351517
1888,102592
1988,128074
1805,83578
1725,240538
1021,764071
1555,93158
1792,88222
1990,107912
1293,244549
1594,210706
1510,424684
1300,220680
1821,305265
1540,92855
1983,554616
1913,343582
1993,273365
1759,278917
1021,559569
1950,136971
1504,332555
1598,98680
1374,547379
1792,276765
1957,98968
1670,108157
1876,420020
1917,402808
1996,459159
1926,128026
1988,128211
1473,357399
1820,498043
1926,82524
1993,251258
1708,416502
1990,135474
1796,526990
1337,574317
1795,287437
1954,93867
1885,511556
1517,62516
1624,103146
1735,102205
1698,284295
1916,89505
1996,128581
1805,325881
1685,85214
1386,380679
1988,467733
1898,90241
1507,323819
1680,102431
1874,114641
1790,72902
1449,285561
1021,599750
1848,108203
1493,406637
1929,85672
1540,91570
1792,280212
1588,139157
1913,336190
1026,597820
1384,352662
1468,340460
1876,256363
1808,169226
1364,263917
1797,333772
1823,369584
2000,475938
1943,488950
1907,396765
1598,98245
1509,364495
1600,90437
1792,82701
1690,252408
1906,53037
1794,328904
1814,284835
1680,104610
1918,391552
1759,299272
1442,560019
1864,57279
1869,414299
1969,503294
1624,123922
1714,100292
1796,263159
1454,256903
1719,222070
1789,73860
1995,474407
1796,303308
1482,336707
1486,249935
1814,117223
1856,443162
1851,143580
1782,189479
1795,324932
1990,131194
1950,117873
1966,118158
1759,291154
1674,247670
1714,158818
1929,335631
1714,107938
1714,96867
1794,259205
1499,227525
1598,101653
1292,608414
1547,91862
1374,439074
1993,640632
1507,1130704
1727,524647
1680,217674
1844,237751
1878,204255
1693,513462
1428,206772
1874,537833
1841,289136
1886,116241
1917,465031
1878,431387
1352,290612
1942,503212
1614,143133
1666,97092
1830,367018
1392,427709
1466,107954
1796,327775
1366,549203
1659,288126
1792,100366
1878,114273
1780,113646
1598,101362
1468,316171
1482,141590
1972,116142
1683,422027
1667,483416
1850,404099
1791,78167
1666,101247
1796,279599
1974,120266
1812,346340
1872,88775
1771,255224
1505,572108
1990,131231
1842,109732
1626,152557
1916,58089
1690,278718
1776,385003
1841,147574
1896,399124
1712,85223
1689,314182
1918,420282
1549,295001
1930,118734
1942,525258
1862,364724
1835,405955
1796,314949
1882,312545
1847,364959
1540,94557
1920,98182
1941,481416
1899,352513
1796,275798
1987,523532
1941,459376
1511,329861
1791,81004
1321,673197
1870,79655
1886,100691
1686,328764
1727,274993
1738,559149
1719,255938
1519,347919
1958,524229
1840,112256
1716,108513
1865,440106
1875,524281
1727,340103
1727,277179
1965,468390
1634,354846
1547,97295
1851,403768
1812,232575
1519,332148
1823,144153
1788,119018
1844,623483
1810,612284
1848,370877
1916,90244
1777,617124
1962,173409
1988,132964
1714,128852
1888,169285
1794,237014
1707,291088
1794,220823
1598,90744
1790,294568
1794,317002
1541,87062
1758,316036
1811,443158
1791,84603
1796,331964
1503,328887
1519,282530
1796,283419
1869,396235
1990,149374
1894,110719
1519,350084
1840,329898
1459,208563
1796,264633
1880,122854
1430,554266
1794,257680
1772,132638
1598,127897
1952,99126
1792,74462
1810,334706
1693,277113
1514,371798
1952,120543
1791,68941
1988,144634
1490,344884
1484,147347
1735,117913
1770,814494
1972,119132
1670,141539
1838,102850
1874,422816
1826,374796
1914,527751
1989,130411
1484,342309
1919,432483
1478,321544
1878,411501
1886,147976
1885,531811
1775,146904
1830,355139
1792,106601
1760,300332
1841,327520
1384,404543
1616,157925
1990,125821
1482,286187
1935,356609
1700,152111
1727,249589
1970,142635
1685,78773
1879,414703
1361,241968
1331,240890
1970,137162
1685,164745
1792,189400
1555,203062
1547,197866
1880,268762
1884,249607
1990,303715
1970,257407
1882,183422
1681,1511976
1795,316391
1932,86749
1920,89627
1694,74549
1668,100461
1464,585248
1952,118670
1698,310510
1990,120925
1688,259531
1905,345700
1878,488887
1880,376959
1794,272770
1454,569341
1898,516360
1586,169061
1963,283875
1759,350181
1896,516269
1796,268352
1777,619845
1199,655691
1796,287175
1712,109988
1950,112316
1664,260928
1796,273446
1917,368214
1791,80685
1875,244050
1835,336708
1987,501195
1798,276720
1822,432595
1791,89087
1624,146216
1640,65655
1499,337338
1835,543252
1891,346863
1790,278321
1974,119109
1882,113348
1548,145197
1466,341612
1758,273422
1700,299547
1919,341861
1877,221682
1993,158334
1918,396217
1986,479355
1886,148037
1966,121746
1988,107353
1950,122394
1796,290391
1497,370399
1779,576257
1794,346690
1504,250530
1794,299089
1771,384511
1885,91746
1811,439879
1635,67109
1885,87476
1907,387057
1576,453481
1356,230907
1538,85553
1727,254765
1712,121463
1598,113758
1794,253422
1837,346778
1840,87447
1493,432561
1479,316415
1396,417984
1627,46415
1948,132155
1525,103937
1758,297383
1512,124289
1827,374367
1836,512340
1796,323854
1794,302925
1798,516298
1332,560432
1790,451479
1624,83606
1759,298872
1598,106881
1523,391932
1974,139257
1758,357956
1994,444715
1952,123144
1593,255047
1974,162849
1767,358719
1515,578016
1800,245716
1476,703316
1864,110339
1796,247541
1822,345937
1756,350215
1592,603154
1788,401482
1796,260049
1906,343105
1877,64029
1912,76959
1794,264629
1691,281889
1916,104653
1796,85052
1988,144876
1961,479984
1791,433812
1796,308037
1405,137786
1708,749248
1914,184844
1992,270901
1793,175075
1990,395454
1970,283961
1769,291268
1320,557863
1681,340437
1792,89676
1784,501041
1946,134543
1859,444301
1755,437720
1482,357922
1892,111402
1712,105293
1917,512651
1716,121839
1788,266555
1482,335710
1880,267014
1919,353758
1890,437340
1624,85370
1792,119568
1508,252097
1713,455810
1467,374251
1634,212055
1726,260826
1927,478357
1714,162424
1817,501783
1758,303144
1844,269335
1690,287881
1796,308266
1794,267405
1801,326451
1406,476424
1666,100793
1714,544645
1753,292701
1945,457091
1707,414606
1912,339423
1990,282421
1966,122618
1796,278457
1796,326316
1970,130059
1374,557071
1795,269095
1974,130304
1798,533872
1990,135704
1881,384437
1520,273388
1712,84767
1712,149973
1908,479782
1794,254584
1796,314129
1687,54805
1598,90062
1505,329127
1975,451494
1841,354364
1914,99238
1758,330228
1777,135999
1790,243775
1900,448008
1426,240220
1791,83007
1776,351603
1598,97156
1699,289087
1698,86302
1855,82854
1914,323180
1872,102539
1490,212196
1580,159855
1499,575763
1796,259985
1796,308604
1886,90472
1987,151058
1642,146863
1974,119172
1872,154973
1845,69792
1990,97658
1759,322251
1866,495931
1756,300075
1659,103262
1796,323606
1804,135464
1878,119299
1431,249665
1672,105191
1796,264017
1672,78249
1984,507384
1854,143193
1804,825088
1966,117944
1796,98063
1796,347325
1793,462200
1990,120615
1990,127523
1479,524913
1674,246421
1505,331076
1096,543936
1820,229703
1519,341745
1760,384545
1841,340239
1842,346900
1368,565431
1702,56510
1966,123555
1894,108444
1966,226341
1974,126097
1397,396367
1929,392609
1942,464141
1325,625173
1497,341529
1796,287152
1796,326480
1700,229992
1840,509818
1557,228360
1796,287079
1879,520871
1793,361282
1541,86017
1519,361604
1831,303392
1952,123099
1788,293173
1964,467539
1870,86637
1795,270242
1830,79417
1428,228431
1844,355679
1759,337235
1805,278169
1448,610583
1694,80366
1859,450109
1668,454286
1670,167549
1932,258823
1799,1211644
1934,999204
1768,259682
1988,251969
1891,1057062
1965,365028
1755,274554
1353,135966
1496,157902
1305,280218
1920,117456
1933,552172
1684,88216
1778,616887
1621,51427
1796,286234
1714,122730
1974,124804
1713,311191
1802,329533
1708,397061
1905,341966
1832,527605
1932,116668
1712,113971
1541,88889
1955,91210
1840,103476
1952,307394
1440,560928
1745,432364
1702,284327
1480,246590
1610,796246
1790,82052
1830,79156
1992,140070
1475,341439
1936,182078
1865,161051
1861,505915
1415,221920
1796,322425
1878,122484
1930,256895
1974,120069
1875,377416
1792,131061
1932,128548
1766,265304
1781,464390
1919,198506
1829,79935
1796,395253
1541,94408
1930,109734
1789,269253
1914,124442
1987,522224
1924,114437
1706,392608
1698,85137
1875,380808
1914,103061
1921,509595
1911,360212
1914,122755
1990,131049
1828,372199
1467,332617
1890,112482
1814,487950
1737,380256
1768,292620
1716,94811
1736,290063
1711,429876
1665,347379
1813,384009
1517,442338
1690,108331
1847,427865
1476,385830
1978,125117
1757,337836
1483,332037
