	"\textsc{Trinity} Query-1"	"\textsc{Trinity} Query-2"	"\textsc{Trinity} Query-3"	"MySQL Query-1"	"MySQL Query-2"	"MySQL Query-3"
1	820	1	42885	1	60	1	254050	1	312820	1	212940
2	561	2	20566	2	52	2	201200	2	209820	2	142910
3	480	3	15510	3	43	3	150380	3	195690	3	149600
4	344	4	13719	4	33	4	137500	4	141890	4	97630
5	589	5	11613	5	30	5	116000	5	121200	5	90370
