1795,590297
1784,545751
1725,502949
1916,355023
1796,560992
1568,563869
1872,342974
1935,578158
1808,332009
1500,553699
1926,680532
1808,527075
1886,364414
1863,581348
1932,355564
1796,597961
1990,367702
1389,282691
1866,161084
1948,352576
1794,544495
1851,705607
1727,504266
1893,560731
1929,223436
1950,346136
1834,337194
1847,804680
1488,277899
1927,207971
1968,450071
1932,364910
1852,614387
1980,621612
1598,297945
1493,589449
1936,411896
1950,434163
1796,580832
1355,499146
1501,610182
1767,593365
1524,722643
1404,719199
1932,358421
1870,275738
1725,624169
1796,518158
1930,450034
1874,570625
1826,648704
1708,595091
1656,599008
1794,559102
1468,481195
1796,669770
1501,587650
1823,641352
1536,412603
1848,693222
1901,600472
1795,552196
1408,680855
1908,714547
1796,526956
1685,210990
1950,356475
1795,533576
1819,569635
1970,351922
1818,635545
1542,254160
1914,537853
1796,515898
1900,549618
1870,429859
1789,540597
1820,692437
1680,318647
1790,198632
1540,263209
1953,610028
1598,278280
1768,549378
1858,563712
1858,580056
1860,439448
1725,499190
1794,671524
1685,564645
1718,385915
1795,560881
1864,584124
1925,210306
1795,561684
1998,284170
1920,362260
1908,536642
1525,793846
1926,230768
1021,785403
1506,598097
1981,605432
1331,493481
1768,605223
1690,169657
1674,556333
1634,451139
1794,559219
1502,348501
1898,432497
1794,522468
1694,167427
1792,209693
1885,181181
1794,564109
1530,481012
1861,619820
1988,406827
1698,530422
1878,340617
1694,220455
1882,408461
1986,388808
1671,572138
1994,306366
1815,536421
1348,735904
1868,611433
1990,407684
1470,763981
1874,578337
1928,417160
1823,523333
1547,308585
1884,187142
1796,592749
1507,612004
1798,150577
1541,251874
1551,254753
1908,544766
1541,257557
1794,590075
1862,337405
1480,529504
1758,543081
1555,257108
1825,386200
1439,487325
1598,299075
1826,571032
1950,361107
1871,692588
1796,548850
1851,575731
1484,562968
1796,705347
1598,300777
1668,309133
1487,553649
1884,153057
1993,604538
1794,547856
1291,774789
1474,491118
1796,583846
1914,677127
1925,516343
1842,340527
1932,373548
1476,724005
1798,325757
1931,585180
1800,415368
1944,505770
1796,555766
1749,503443
1448,548844
1916,349584
1960,438872
1863,701197
1634,339837
1990,387966
1541,246207
1790,510780
1866,145386
1856,678836
1422,716788
1961,706923
1845,335971
1551,244482
1850,656981
1541,272778
1522,595676
1670,318134
1749,556250
1894,541155
1791,209970
1678,673592
1600,370370
1780,572259
1966,353801
1516,747834
1429,740935
1993,525092
1758,566537
1794,531141
1938,435857
1695,188861
1890,335666
1592,480207
1920,217806
1955,196389
1726,533757
1598,285218
1323,483409
1874,349477
1791,196369
1719,437374
1990,398183
1790,509649
1775,763228
1389,479476
1867,639426
1883,528066
1317,521324
1680,312016
1843,514664
1465,584035
1498,572818
1489,46990
1847,564321
1838,342935
1574,508602
1914,530932
1791,179531
1950,369059
1758,597017
1946,617662
1850,646305
1665,141788
1792,153474
1882,317744
1344,777353
1890,347991
1927,449745
1948,339492
1549,580620
1993,532864
1920,649548
1620,451368
1673,490314
1901,545886
1795,530974
1886,333371
1974,393187
1422,730987
1943,584390
1950,355917
1796,599390
1450,471917
1485,437548
1598,291680
1862,611900
1490,447682
1768,598350
1792,227350
1788,524290
1500,586431
1424,448464
1714,329315
1955,652032
1668,294527
1974,365596
1522,638549
1695,535554
1924,408546
1876,644520
1462,705121
1831,479524
1932,251259
1698,203946
1776,546049
1796,607037
1972,382033
1680,316688
1541,250178
1815,555576
1797,533170
1878,511154
1600,334781
1846,396701
1990,397129
1882,370755
1620,442332
1438,484313
1795,515937
1715,530091
1515,566306
1540,276934
1543,238099
1690,555108
1724,724530
1950,360554
1644,400010
1676,309805
1774,609754
1796,514824
1914,540467
1727,507345
1796,571228
1978,381751
1927,202317
1758,528102
1824,662770
1901,538570
1675,727504
1555,284060
1355,485249
1796,606597
1809,211639
1676,357008
1845,557898
1888,355030
1988,365296
1805,232597
1725,521449
1021,889286
1555,266952
1792,189289
1990,388723
1291,566645
1594,519301
1503,609482
1297,530755
1813,524003
1540,276226
1972,763838
1908,549471
1993,541966
1758,546786
1021,687528
1950,385619
1499,581465
1598,305448
1354,619364
1792,357624
1957,280338
1670,334226
1859,591714
1907,592611
1985,626877
1926,403662
1988,396332
1468,608443
1804,689260
1926,214576
1993,521350
1706,611602
1990,427782
1779,707603
1342,762340
1795,557543
1954,367327
1868,699554
1517,160375
1624,316436
1735,233068
1697,522673
1916,358385
1996,296879
1803,609288
1685,236613
1385,609584
1973,674174
1898,345809
1502,538210
1680,335714
1874,426388
1790,163898
1444,516649
1021,729065
1848,409809
1488,647162
1929,234817
1540,255286
1792,563471
1588,472877
1908,542039
1026,736266
