1271,8224
973,10218
1824,13367
1444,3781
1198,22014
1165,2383
1143,2898
1245,3275
1331,22698
1900,14877
985,5796
1510,13139
1930,9173
1265,32998
1048,5447
1728,5140
858,73465
690,19614
1565,6757
1368,12402
1287,12679
665,12768
1296,10853
1082,12885
1340,4650
1087,3392
1139,5338
1772,30049
583,8403
1182,13746
1754,6142
1134,3141
946,12200
1679,34752
549,11742
1429,4220
1093,18468
1370,55894
1210,2710
1427,8199
1242,11547
1020,10674
1063,6932
870,26767
1083,11975
1794,5025
1284,16005
1312,19445
880,2511
1975,4074
1287,15244
1602,3219
1726,19813
1639,7441
1885,10645
1736,10896
1025,3278
291,8191
1922,3684
1169,2285
1303,2870
1079,13829
1537,2618
1083,27532
1218,4556
1043,2868
1261,2261
774,12920
1823,2654
1196,2605
1595,3240
1712,2431
1803,4329
1314,2755
1658,2544
539,3450
1003,3017
975,2150
1345,10144
1001,6858
1800,2560
1861,9097
1108,7582
1236,17517
1603,11172
1435,4429
1902,10129
1915,3195
1049,2170
1419,3304
387,2556
158,2941
853,12773
1581,2900
1743,4850
1393,3939
1640,12339
1852,5300
1310,3425
1285,9989
1030,16870
1535,3845
1208,6712
1228,10633
882,8123
1765,2772
1260,13081
1555,2572
1322,5520
1030,3811
1206,2564
1708,9830
1122,8799
1216,4318
1272,2707
1496,12965
1448,2353
1307,10548
1032,4069
1282,4033
1024,5483
1096,3610
998,7130
1143,2154
1534,1079
1584,16691
1227,4108
1305,8114
1184,2630
1578,2539
1957,2903
1709,6635
1655,13683
1124,2915
1383,3445
1609,2705
1711,11109
1255,9833
1475,20201
1297,9995
1181,18856
1141,4150
1485,13581
1591,3646
1676,5309
1321,14803
1153,11182
1530,8653
1059,15389
1683,7308
1768,5703
1376,11331
1641,3829
637,19130
1795,3076
1530,2452
1088,2794
1702,5185
1079,2178
1388,16846
1601,25504
515,32755
1024,5482
611,25313
1442,4816
1173,54797
1129,4904
1639,27955
1187,2596
1645,4365
1902,4073
1804,5707
1481,17746
842,16589
1428,20007
1054,2588
1339,12184
1093,6082
1871,4619
1109,2820
1604,2505
1398,4370
1149,3733
926,7384
1385,3504
1196,3575
1355,12576
846,18570
1407,3323
1300,6011
1053,16242
1008,9620
1899,2993
1626,2536
1074,3734
363,27176
1644,32705
1323,6848
1119,6134
1787,2747
1507,16928
1658,2886
1195,10858
1475,5656
523,19713
1333,3608
1617,3042
1484,4849
1346,4656
1306,7270
1891,4461
1243,3470
506,5294
1875,4003
1893,13437
1856,4666
1251,2548
1034,5109
1553,10416
1945,13374
1391,2800
953,18077
1192,2413
1199,3946
1759,5321
1378,2580
1290,2425
1320,4716
1144,7340
1490,2510
1140,4937
1274,7903
1515,2330
719,15360
1395,3801
1391,4612
1061,9666
1604,15010
1296,2545
1311,39613
1087,16348
1253,7898
1220,7506
1860,11824
1363,4540
746,10390
1256,3773
779,860
1045,2230
1279,3432
997,2115
1113,2856
1533,2828
1194,8905
1223,8331
1179,2759
606,55587
924,8424
1044,7354
1338,7074
1566,13094
1227,4145
486,368
1527,43990
1612,5949
1688,7130
1181,10652
1625,5419
1284,8463
1943,4004
919,76195
1685,4432
1298,29261
1262,10504
784,3828
989,6707
1740,8172
1068,11417
1618,13216
1433,3832
724,3669
1231,17204
1819,2828
1266,3731
1035,10700
1937,2985
1691,3232
1011,3237
1350,3330
1027,8121
1522,33493
1785,14514
1503,4438
1131,12744
1472,2265
1368,5652
1120,3878
1250,5021
750,19844
1832,15963
1368,16191
1290,7849
1726,8693
1066,12274
1107,17426
1539,23436
1610,2448
1804,5358
1043,5770
966,18556
1200,9913
1133,8138
1341,5643
1193,2945
1351,7981
978,14918
722,42144
1242,2420
1568,4218
1076,27380
1464,5573
1525,3550
1443,2264
1441,41201
1196,9859
1633,8500
1251,3307
1789,3886
1103,5568
1389,4894
1432,2923
1593,2682
1273,10446
1211,4225
1308,24243
1110,8429
813,37183
1121,4025
1390,13310
1700,3025
881,27582
1649,16301
1896,2957
1275,16027
1290,16310
1144,2100
1180,10184
1259,20341
1642,7356
1261,2320
755,11111
1105,3374
859,5811
1772,3126
959,6478
1694,9492
1133,4789
881,16775
1497,12850
1326,2371
961,8953
1926,3465
1318,3957
1097,9738
1695,1431
1859,3180
352,194
1193,2249
1050,6412
1321,2753
646,17007
297,1266
1712,2410
1184,4373
1698,12268
1737,2588
1334,2144
1245,2615
559,46245
1695,5295
1871,2956
1894,8103
1518,2933
563,5864
1658,6943
1291,15015
1606,5534
1604,13296
1286,3308
