3928,72760,
597360,573946,
482229,468353,
103443,200586,
752937,687177,
11066,475277,
2022,167375,
1014481,797846,
106254,247023,
15680,544886,
20,321910,
502935,516144,
64650,402211,
89,39858,
64650,428218,
122271,458321,
406,24168,
2952426,776277,
29152,511810,
30327,185041,
64650,424455,
16312,176638,
71930,423118,
6735,426820,
30225,497793,
16312,190406,
20,302446,
36782,451697,
44210,476405,
87317,633044,
6735,456441,
30327,177285,
599972,506300,
1,545705,
100,1457,
16312,175437,
382,40825,
73,2247,
16660,303723,
3186,178372,
16660,305556,
502928,513059,
2952426,771538,
406,26530,
14015,186670,
550982,579767,
30225,516764,
20,313084,
3192,415884,
502935,509429,
17934,389730,
71930,430011,
76,1634,
156820,640584,
1,37943,
14028,189871,
20928,550663,
336281,460643,
85804,642000,
16312,179993,
89,46026,
1,2362,
502928,491527,
30327,175509,
406,23637,
16312,175713,
103376,219543,
16312,177855,
14015,186435,
59,997,
1,531038,
71930,436456,
71930,429065,
20928,544601,
1181186,544591,
20928,534527,
1,746,
14015,185992,
1,2196,
76,1561,
987,51719,
975,53283,
16312,170455,
20928,536761,
42,549965,
169,32589,
89,34035,
16660,307361,
103376,224657,
3186,171197,
406,30909,
48047,522833,
16312,178550,
668796,504917,
14015,187723,
30327,189075,
406,28324,
12,48372,
3192,399403,
406,26883,
406,31850,
36782,448710,
16656,283336,
406,25337,
1551451,759948,
30327,176362,
10400,428800,
1,710,
1,939,
16312,175280,
42,546962,
16312,169320,
20929,545724,
48047,519696,
16312,176621,
76,1867,
29152,511041,
3119,423228,
1,33634,
502928,504382,
1,2627,
96,465,
30327,170029,
20929,555340,
16660,305002,
6719,429495,
406,27017,
16660,304162,
1794,369486,
48047,524244,
20929,530756,
60,902,
3192,390333,
64650,430846,
17845,391203,
502928,504460,
20,319531,
103376,236512,
1774769,671222,
84829,635415,
1,33165,
502928,506961,
14015,169049,
502928,517051,
1,546631,
88527,634694,
1412,361689,
84829,637551,
16312,175045,
76,1222,
169,35346,
336281,455748,
502928,510501,
14015,173945,
64650,431278,
20,311624,
64650,403955,
1,841,
96,776,
59,814,
20929,542651,
6719,437241,
59,615,
103376,222362,
42,549932,
406,29744,
85804,644160,
89,47209,
3192,420789,
502928,502891,
336281,455930,
14015,176172,
20,312060,
30327,176865,
532080,576162,
16312,174893,
16312,169304,
76,1055,
16312,178692,
14015,174071,
76,1720,
16656,287308,
3186,180541,
3192,397842,
42,544468,
1765961,764313,
1,552204,
382,42849,
10399,439013,
16656,285210,
30327,189402,
59,631,
89,38843,
71930,402340,
88485,643924,
3186,171519,
1,794,
337,364571,
71930,433889,
406,27884,
599972,510438,
127,796,
103376,236695,
76,1711,
502928,494119,
7,402489,
16312,176974,
1,29596,
1,547722,
88485,655379,
103376,222932,
19498,197345,
1393900,813854,
30225,501780,
16656,285202,
89,40495,
3109246,792946,
1,543006,
14015,174047,
16312,185006,
975,53828,
1765961,758605,
30327,177005,
1752853,666816,
1,2006,
20,312375,
30327,176283,
20928,540249,
1,37940,
36780,446073,
4868186,899850,
59,823,
36782,442500,
76,1436,
406,23691,
60,727,
36780,451355,
502935,518465,
36780,450157,
42,552603,
1,532401,
599972,500786,
6719,427755,
156820,642425,
20,309116,
29152,505356,
1,695,
2952426,783763,
10399,434222,
1,540925,
69,858,
599972,507673,
44210,464342,
336281,465625,
16312,173885,
6719,399379,
1,867,
60,728,
382,39000,
10400,420155,
3109246,805168,
336281,460994,
1,1846,
1,556,
1192401,575488,
502928,503790,
1753840,687518,
1,2388,
2268008,681852,
42,554243,
103376,220970,
16312,174651,
30340,190195,
20929,554053,
17845,378501,
1,31016,
20,313051,
42,539060,
30327,181606,
42,539398,
20,311260,
16312,179594,
1,684,
1,1219,
1551451,732619,
42,548630,
122284,453110,
103389,249745,
3186,178807,
1192401,567831,
16312,177442,
7,405599,
16312,179261,
3186,171742,
17934,382708,
16312,176061,
16312,176023,
16312,168108,
3186,172934,
6719,429369,
3119,412795,
406,25220,
1,628,
3186,179601,
1,732,
73,1732,
36782,420947,
64650,425860,
16312,177071,
406,28782,
89,35854,
1249692,642230,
2268008,679907,
16312,169589,
103376,230949,
10399,424655,
1393900,808719,
1,1024,
16660,309206,
3186,191031,
16312,186452,
1388675,817035,
3120,414752,
30327,169761,
1392,370131,
1412,362435,
1752854,672579,
3186,181256,
1393900,813890,
1249692,620245,
73,1709,
10399,425571,
14015,170359,
502928,507179,
71930,439101,
103376,221068,
337,361806,
668796,516278,
6719,430407,
103376,243955,
1,540184,
20,312116,
1,34071,
14015,167766,
20928,536015,
44210,471390,
1392,359048,
1,666,
502928,509133,
599972,501380,
48047,521794,
1,1353,
19498,198910,
19498,196524,
3109246,806643,
502928,508174,
30327,176805,
14015,175980,
2268068,677378,
169,36672,
2268056,668705,
20928,537513,
73,1875,
120973,371797,
6719,401214,
1,539963,
1765961,745435,
87317,646228,
71930,412345,
20,316976,
19498,191091,
76,1823,
16312,175016,
89,38595,
1393900,818582,
42,551821,
1,1230,
406,32180,
16660,308363,
120973,387210,
16312,186242,
4868186,903014,
19498,204795,
122271,448596,
1707865,765775,
20,304408,
169,32783,
30327,169851,
3119,410489,
16312,177841,
16312,177394,
1,539572,
64650,431236,
2952553,775175,
122278,473572,
76,952,
30327,174311,
1551451,751155,
382,43078,
36782,447782,
2952426,793686,
16660,309177,
550982,587933,
30327,184810,
20929,540523,
76,1951,
59,674,
20,310683,
1,43710,
502928,502700,
42,537328,
1708271,756619,
2268008,666510,
337,366449,
3159915,850057,
987,58790,
